          0.11000000          0.22000000          0.11000000         -1.15230000         -5.18780000          0.00000000        -67.88430000          6.64845000         -0.00702903         -0.03164558        283.15200000          4.01781471          7.99413116          0.00000000          1.00000000          0.00000000          1.00000000          0.10341910          0.23031000          0.53469900          0.00000000          1.00000000          0.00000000
          0.33000000          0.44000000          0.22000000         -2.38655000         -5.06694000          0.00000000        -67.88430000          6.64845000         -0.01455796         -0.03090833        283.15200000          2.85044910          5.70621904          0.67808300          0.95925900         -0.10554594          0.97634811          0.09693880          0.29060300          0.63003200          0.00000000          0.23406800         -0.02484664
          0.55000000          0.66000000          0.44000000         -2.43393000         -4.99513000         -0.00000000         -2.60616900          3.94826000         -0.01484697         -0.03047029        283.15200000          1.95811476          4.43567628          1.43359000          0.91905180         -0.19175070          0.94750661          0.11167600          0.26605000          0.58228600          0.00000000          0.03393380         -0.02986870
          0.77000000          0.88000000          0.66000000         -2.61222000         -4.88625000          0.00000000         -9.80490000          5.98879000         -0.01593454         -0.02980613        283.15200000          1.68710667          3.69116094          1.94409000          0.87818890         -0.26599310          0.91987444          0.12133400          0.27595800          0.66762200          0.00000000          0.03301790         -0.03520910
          0.99000000          1.10000000          0.88000000         -2.61833000         -4.79223000         -0.00000000         -0.33582449          5.17143000         -0.01597181         -0.02923260        283.15200000          1.45882801          3.15153163          2.27067000          0.84046432         -0.32536160          0.89177206          0.13966200          0.24496600          0.62394600          0.00000000          0.00456932         -0.03691960
          1.21000000          1.32000000          1.10000000         -2.65980000         -4.70251000         -0.00000000         -2.28225000          4.93328000         -0.01622478         -0.02868531        283.15200000          1.32692396          2.78829970          2.47200000          0.80314961         -0.37785040          0.86441846          0.15285300          0.24068600          0.67727100          0.00000000          0.00636761         -0.04078240
          1.43000000          1.54000000          1.32000000         -2.64628000         -4.61608000         -0.00000000          0.74348500          4.75455000         -0.01614231         -0.02815809        283.15200000          1.19434216          2.48000543          2.58835000          0.76543530         -0.42374890          0.83665692          0.17161100          0.22678700          0.65776800          0.00000000         -0.00591070         -0.04381690
          1.65000000          1.76000000          1.54000000         -2.63863000         -4.51382000         -0.00000000          0.42132490          5.62261000         -0.01609564         -0.02753430        283.15200000          1.10204172          2.25562901          2.65938000          0.72476432         -0.46386970          0.80838613          0.18687100          0.22497500          0.66657100          0.00000000         -0.00918868         -0.04682570
          1.87000000          1.98000000          1.76000000         -2.59941000         -4.40535000         -0.00000000          2.15603900          5.96736000         -0.01585640         -0.02687264        283.15200000          1.02531765          2.08869138          2.70354000          0.68050448         -0.49820160          0.78094337          0.20313300          0.22057800          0.64450700          0.00000000         -0.01712752         -0.04959560
          2.09000000          2.20000000          1.98000000         -2.55377000         -4.28880000         -0.00000000          2.51115000          6.41076000         -0.01557800         -0.02616168        283.15200000          0.97521879          1.98079456          2.71875000          0.63343160         -0.52888340          0.75297743          0.21234000          0.22567600          0.67993100          0.00000000         -0.02307240         -0.05384340
          2.31000000          2.42000000          2.20000000         -2.49318000         -4.17727000         -0.00000000          3.33245000          6.13378000         -0.01520840         -0.02548135        283.15200000          0.94044349          1.92811535          2.70551000          0.58784460         -0.55671050          0.72551281          0.22141900          0.22872300          0.70413300          0.00000000         -0.02942940         -0.05543550
          2.53000000          2.64000000          2.42000000         -2.42731000         -4.06201000         -0.00000000          3.62237000          6.33879000         -0.01480659         -0.02477826        283.15200000          0.92710616          1.88637476          2.66908000          0.54371580         -0.58320190          0.69852196          0.22879200          0.23108700          0.72453400          0.00000000         -0.03281720         -0.05807790
          2.75000000          2.86000000          2.64000000         -2.35492000         -3.94285000         -0.00000000          3.98255000          6.55458000         -0.01436501         -0.02405139        283.15200000          0.93051179          1.84473388          2.61429000          0.50098710         -0.60542390          0.67238105          0.23519900          0.23383100          0.73692600          0.00000000         -0.03628290         -0.06032390
          2.97000000          3.08000000          2.86000000         -2.27939000         -3.81877000         -0.00000000          4.15372000          6.82425000         -0.01390428         -0.02329450        283.15200000          0.94545123          1.81169569          2.54516000          0.45891620         -0.62275380          0.64718361          0.24141300          0.23489200          0.75218500          0.00000000         -0.03864280         -0.06238980
          3.19000000          3.30000000          3.08000000         -2.20309000         -3.69821000         -0.00000000          4.19750000          6.63041000         -0.01343885         -0.02255908        283.15200000          0.96623445          1.78794280          2.46795000          0.41958140         -0.63551510          0.62308601          0.24634700          0.23465100          0.76831000          0.00000000         -0.04029060         -0.06379910
          3.41000000          3.52000000          3.30000000         -2.12789000         -3.56895000         -0.00000000          4.13563000          7.10966000         -0.01298013         -0.02177060        283.15200000          0.99924415          1.78259590          2.38591000          0.38409420         -0.64382830          0.60007884          0.24730300          0.23792800          0.79513800          0.00000000         -0.04069480         -0.06530130
          3.63000000          3.74000000          3.52000000         -2.05545000         -3.43433000         -0.00000000          3.98315000          7.40489000         -0.01253824         -0.02094941        283.15200000          1.02881530          1.78347745          2.29651000          0.35237640         -0.65000900          0.57879692          0.24733200          0.24264400          0.82419100          0.00000000         -0.04006960         -0.06682300
          3.85000000          3.96000000          3.74000000         -1.98810000         -3.29327000         -0.00000000          3.70516000          7.75803000         -0.01212741         -0.02008895        283.15200000          1.06340839          1.77927271          2.20414000          0.32471190         -0.65350800          0.55768997          0.24475800          0.24900700          0.85472100          0.00000000         -0.03756110         -0.06750200
          4.07000000          4.18000000          3.96000000         -1.92310000         -3.14965000         -0.00000000          3.57435000          7.89940000         -0.01173091         -0.01921287        283.15200000          1.11188639          1.76120488          2.11239000          0.30110190         -0.65466930          0.53781044          0.24302800          0.25631700          0.88010800          0.00000000         -0.03372510         -0.06692030
